,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
127,"Too Good At Goodbyes","Sam Smith",651392,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
128,Hipócrita,"Anuel Aa",647552,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw
129,"I'm Yours","Jason Mraz",638691,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
130,Connection,OneRepublic,637702,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
131,CAROUSEL,"Travis Scott",636306,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
132,"Ball For Me (feat. Nicki Minaj)","Post Malone",635433,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
133,Closer,"The Chainsmokers",631526,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
134,Africa,Toto,623742,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
135,"Mob Ties",Drake,620672,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
136,"Bella - Remix",Wolfine,620288,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
137,Congratulations,"Post Malone",615645,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
138,"Toda - Remix","Alex Rose",614638,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL
139,"Síguelo Bailando",Ozuna,613675,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
140,"you should see me in a crown","Billie Eilish",602122,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
141,"Say You Won't Let Go","James Arthur",599920,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
142,"Plug Walk","Rich The Kid",599069,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
143,Hope,XXXTENTACION,596909,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
144,HUMBLE.,"Kendrick Lamar",595287,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
145,"Te Amo","Piso 21",594718,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
146,"Call Out My Name","The Weeknd",593601,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
147,"Walk It Talk It",Migos,593585,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
148,"Mo Bamba","Sheck Wes",590240,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
149,"Remind Me to Forget",Kygo,587831,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
